"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Packaging","Quantity","Unit Price","Extended Price","Description"
"GRM21BR61E106MA73L","Murata Electronics","490-10748-1-ND","Cut Tape (CT)","5","0.27000","$1.35","CAP CER 10UF 25V X5R 0805"
"CC0805ZRY5V8BB105","Yageo","311-1358-1-ND","Cut Tape (CT)","10","0.10300","$1.03","CAP CER 1UF 25V Y5V 0805"
"C0805C104M3RACTU","KEMET","399-8000-1-ND","Cut Tape (CT)","40","0.07100","$2.84","CAP CER 0.1UF 25V X7R 0805"
"GRM21BC81C226ME44L","Murata Electronics","490-9956-1-ND","Cut Tape (CT)","2","0.48000","$0.96","CAP CER 22UF 16V X6S 0805"
"CC0805FRNPO9BN220","Yageo","311-4171-1-ND","Cut Tape (CT)","10","0.17200","$1.72","CAP CER 22PF 50V NPO 0805"
"C0805C103K1RAC7210","KEMET","399-17617-1-ND","Cut Tape (CT)","3","0.10000","$0.30","CAP CER SMD 0805 .01UF 100V X7R"
"C0805C223K5RACTU","KEMET","399-1163-1-ND","Cut Tape (CT)","10","0.06000","$0.60","CAP CER 0.022UF 50V X7R 0805"
"CC0805KRX7R9BB102","Yageo","311-1127-1-ND","Cut Tape (CT)","3","0.10000","$0.30","CAP CER 1000PF 50V X7R 0805"
"C0805C101J5GACTU","KEMET","399-1122-1-ND","Cut Tape (CT)","3","0.10000","$0.30","CAP CER 100PF 50V C0G/NP0 0805"
"CC0805ZRY5V8BB474","Yageo","311-4358-1-ND","Cut Tape (CT)","10","0.13500","$1.35","CAP CER 0.47UF 25V Y5V 0805"
"CC0805KKX7R9BB334","Yageo","311-1888-1-ND","Cut Tape (CT)","3","0.18000","$0.54","CAP CER 0.33UF 50V X7R 0805"
"CC0805KRX7R8BB224","Yageo","311-1432-1-ND","Cut Tape (CT)","3","0.16000","$0.48","CAP CER 0.22UF 25V X7R 0805"
"BAT54HT1G","ON Semiconductor","BAT54HT1GOSCT-ND","Cut Tape (CT)","5","0.20000","$1.00","DIODE SCHOTTKY 30V 200MA SOD323"
"SMF12A","Littelfuse Inc.","F5747CT-ND","Cut Tape (CT)","2","0.47000","$0.94","TVS DIODE 12V 19.9V SOD123F"
"SMF5.0A","Littelfuse Inc.","F5748CT-ND","Cut Tape (CT)","2","0.45000","$0.90","TVS DIODE 5V 9.2V SOD123F"
"1N5819HW-7-F","Diodes Incorporated","1N5819HW-FDICT-ND","Cut Tape (CT)","10","0.33300","$3.33","DIODE SCHOTTKY 40V 1A SOD123"
"LTST-C171KRKT","Lite-On Inc.","160-1427-1-ND","Cut Tape (CT)","3","0.29000","$0.87","LED RED CLEAR SMD"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","Cut Tape (CT)","10","0.20100","$2.01","LED GREEN CLEAR CHIP SMD"
"LTST-C171TBKT","Lite-On Inc.","160-1645-1-ND","Cut Tape (CT)","3","0.48000","$1.44","LED BLUE CLEAR CHIP SMD"
"SMF10A","Littelfuse Inc.","F5745CT-ND","Cut Tape (CT)","3","0.35000","$1.05","TVS DIODE 10V 17V SOD123F"
"0685T5000-01","Bel Fuse Inc.","507-1948-1-ND","Cut Tape (CT)","3","0.31000","$0.93","FUSE BOARD MNT 5A 63VAC/VDC 1206"
"BL01RN1A1D2B","Murata Electronics","490-10997-ND","Bulk","3","0.19000","$0.57","FERRITE BEAD AXIAL 1LN"
"PRPC012SACN-RC","Sullins Connector Solutions","S1131EC-12-ND","Bag","2","0.46000","$0.92","CONN HEADER VERT 12POS 2.54MM"
"1935187","Phoenix Contact","277-1579-ND","Bulk","3","0.84000","$2.52","TERM BLK 4POS SIDE ENTRY 5MM PCB"
"IRLB8721PBF","Infineon Technologies","IRLB8721PBF-ND","Tube","3","0.85000","$2.55","MOSFET N-CH 30V 62A TO-220AB"
"DMN65D8L-7","Diodes Incorporated","DMN65D8L-7DICT-ND","Cut Tape (CT)","5","0.17000","$0.85","MOSFET N-CH 60V 310MA SOT23"
"MMBT3904-7-F","Diodes Incorporated","MMBT3904-FDICT-ND","Cut Tape (CT)","3","0.12000","$0.36","TRANS NPN 40V 0.2A SMD SOT23-3"
"IRF4905PBF","Infineon Technologies","IRF4905PBF-ND","Tube","1","1.97000","$1.97","MOSFET P-CH 55V 74A TO-220AB"
"RC0805JR-071KL","Yageo","311-1.0KARCT-ND","Cut Tape (CT)","30","0.03200","$0.96","RES SMD 1K OHM 5% 1/8W 0805"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","Cut Tape (CT)","30","0.03600","$1.08","RES SMD 10K OHM 1% 1/8W 0805"
"CRCW080510R0FKEAHP","Vishay Dale","541-10.0TCT-ND","Cut Tape (CT)","21","0.22200","$4.66","RES SMD 10 OHM 1% 1/2W 0805"
"RC0805FR-07100KL","Yageo","311-100KCRCT-ND","Cut Tape (CT)","30","0.03800","$1.14","RES SMD 100K OHM 1% 1/8W 0805"
"CRG0805F3K0","TE Connectivity Passive Product","A126368CT-ND","Cut Tape (CT)","3","0.10000","$0.30","RES SMD 3K OHM 1% 1/8W 0805"
"RSF1JT1R00","Stackpole Electronics Inc","RSF1JT1R00CT-ND","Cut Tape (CT)","5","0.23000","$1.15","RES 1 OHM 1W 5% AXIAL"
"CRG0805F39K","TE Connectivity Passive Product","A126366CT-ND","Cut Tape (CT)","3","0.10000","$0.30","RES SMD 39K OHM 1% 1/8W 0805"
"RR1220P-821-D","Susumu","RR12P820DCT-ND","Cut Tape (CT)","3","0.11000","$0.33","RES SMD 820 OHM 0.5% 1/10W 0805"
"CRGCQ0805F220R","TE Connectivity Passive Product","A129741CT-ND","Cut Tape (CT)","5","0.10000","$0.50","CRGCQ 0805 220R 1%"
"RR1220P-301-D","Susumu","RR12P300DCT-ND","Cut Tape (CT)","10","0.09800","$0.98","RES SMD 300 OHM 0.5% 1/10W 0805"
"RNCP0805FTD4K99","Stackpole Electronics Inc","RNCP0805FTD4K99CT-ND","Cut Tape (CT)","3","0.10000","$0.30","RES 4.99K OHM 1% 1/4W 0805"
"1301.9314","Schurter Inc.","486-3465-ND","Bulk","3","0.24000","$0.72","SWITCH TACTILE SPST-NO 0.05A 12V"
"D6C50 F1 LFS","C&K","401-1967-ND","Tray","2","0.90000","$1.80","SWITCH PUSH SPST-NO 0.1A 32V"
"D6C40 F1 LFS","C&K","401-1966-ND","Tray","2","1.20000","$2.40","SWITCH PUSH SPST-NO 0.1A 32V"
"5001","Keystone Electronics","36-5001-ND","Bulk","5","0.35000","$1.75","PC TEST POINT MINIATURE BLACK"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","Tube","1","2.08000","$2.08","IC MCU 8BIT 32KB FLASH 28DIP"
"IRS2004PBF","Infineon Technologies","IRS2004PBF-ND","Tube","2","1.04000","$2.08","IC GATE DRVR HALF-BRIDGE 8DIP"
"SN74LVC1G11DBVR","Texas Instruments","296-16810-1-ND","Cut Tape (CT)","10","0.28900","$2.89","IC GATE AND 1CH 3-INP SOT23-6"
"UA7810CKCSE3","Texas Instruments","296-21622-5-ND","Tube","1","0.81000","$0.81","IC REG LINEAR 10V 1.5A TO220-3"
"LM7805CT/NOPB","Texas Instruments","296-47192-ND","Tube","1","1.54000","$1.54","IC REG LINEAR 5V 1A TO220-3"
"CD4044BE","Texas Instruments","296-2051-5-ND","Tube","10","0.47600","$4.76","IC QUAD NAND R/S LATCH 16-DIP"
"MCP601-E/P","Microchip Technology","MCP601-E/P-ND","Tube","8","0.48000","$3.84","IC OPAMP GP 1 CIRCUIT 8DIP"
